                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2637,                 4.0371,                 1.2314,                0.65592,                0.16306,                0.18454,                0.13796,                 1.2033,                 2.6212,                 1.1831,             6.3733e-05,             6.3733e-05,             6.3733e-05
                      1,                 1.3369,                 2.6355,                 1.2936,                0.48801,                0.34689,                0.35522,                 0.2487,                 1.2687,                 1.9885,                 1.2427,             0.00012647,             0.00012647,             0.00012647
                      2,                 1.3374,                 2.2349,                 1.2993,                0.47884,                 0.3929,                0.38405,                0.26152,                 1.2783,                 1.8608,                 1.2416,             0.00018794,             0.00018794,             0.00018794
                      3,                 1.3373,                 2.0894,                 1.2904,                0.53821,                0.40292,                0.40789,                0.27781,                 1.2741,                 1.7585,                 1.2457,              0.0001863,              0.0001863,              0.0001863
                      4,                 1.3217,                 1.9772,                 1.2883,                0.51196,                0.38708,                0.40367,                0.27146,                 1.2894,                 1.7725,                 1.2604,              0.0001863,              0.0001863,              0.0001863
                      5,                 1.3128,                 1.9154,                 1.2813,                0.50267,                0.40868,                0.41199,                0.27783,                 1.2707,                 1.6952,                 1.2379,              0.0001844,              0.0001844,              0.0001844
                      6,                 1.3104,                 1.8569,                 1.2819,                0.47735,                0.43426,                 0.4197,                0.28053,                 1.2783,                 1.6456,                 1.2498,              0.0001825,              0.0001825,              0.0001825
                      7,                 1.2897,                 1.8124,                 1.2671,                0.50033,                0.40925,                0.41369,                0.28277,                 1.2695,                 1.6505,                 1.2505,              0.0001806,              0.0001806,              0.0001806
                      8,                 1.2785,                 1.7735,                  1.262,                0.49368,                0.42239,                0.41967,                0.28496,                 1.2791,                 1.6233,                 1.2418,             0.00017869,             0.00017869,             0.00017869
                      9,                  1.278,                 1.7363,                 1.2606,                0.51266,                0.43174,                0.43111,                0.29057,                 1.2731,                 1.5932,                 1.2444,             0.00017679,             0.00017679,             0.00017679
                     10,                 1.2749,                 1.7305,                 1.2599,                0.49509,                0.44127,                 0.4316,                0.29625,                 1.2776,                 1.5973,                  1.245,             0.00017489,             0.00017489,             0.00017489
                     11,                 1.2646,                 1.6897,                 1.2525,                0.53545,                0.41033,                0.43244,                0.29541,                 1.2812,                 1.6124,                 1.2456,             0.00017299,             0.00017299,             0.00017299
                     12,                 1.2605,                 1.6746,                  1.249,                0.54289,                0.41194,                 0.4359,                0.29511,                 1.2803,                 1.5985,                 1.2512,             0.00017109,             0.00017109,             0.00017109
                     13,                  1.258,                 1.6564,                 1.2487,                0.53805,                0.43747,                0.44443,                0.30099,                 1.2779,                 1.5855,                 1.2477,             0.00016919,             0.00016919,             0.00016919
                     14,                 1.2622,                 1.6211,                 1.2443,                0.54826,                 0.4193,                0.44022,                0.29936,                 1.2629,                 1.5604,                 1.2414,             0.00016729,             0.00016729,             0.00016729
                     15,                 1.2522,                 1.5962,                 1.2371,                0.55112,                0.42627,                0.44301,                0.30068,                 1.2701,                 1.5728,                 1.2409,             0.00016539,             0.00016539,             0.00016539
                     16,                 1.2381,                 1.6011,                 1.2356,                0.52906,                0.44131,                0.44996,                0.30296,                 1.2757,                 1.5739,                 1.2495,             0.00016349,             0.00016349,             0.00016349
                     17,                 1.2365,                 1.5836,                 1.2374,                0.50054,                0.43381,                0.43712,                0.29412,                 1.2716,                 1.5773,                 1.2445,             0.00016159,             0.00016159,             0.00016159
                     18,                 1.2342,                  1.562,                 1.2286,                0.51906,                0.43521,                0.43717,                0.29371,                 1.2636,                 1.5529,                 1.2324,             0.00015969,             0.00015969,             0.00015969
                     19,                 1.2362,                 1.5425,                 1.2266,                0.55391,                0.42861,                0.45372,                 0.3052,                 1.2769,                 1.5509,                  1.242,             0.00015779,             0.00015779,             0.00015779
                     20,                  1.225,                 1.5199,                 1.2214,                0.53073,                0.43635,                0.44365,                0.30205,                  1.274,                 1.5667,                 1.2431,             0.00015588,             0.00015588,             0.00015588
                     21,                 1.2323,                 1.5194,                 1.2244,                0.52675,                0.43379,                0.44305,                0.29839,                 1.2726,                 1.5526,                  1.242,             0.00015398,             0.00015398,             0.00015398
                     22,                 1.2225,                 1.5131,                 1.2289,                0.53979,                0.44181,                0.45441,                0.30669,                 1.2713,                 1.5292,                 1.2358,             0.00015208,             0.00015208,             0.00015208
                     23,                 1.2205,                 1.4845,                 1.2187,                0.53783,                0.43858,                0.44985,                0.30125,                  1.277,                 1.5373,                 1.2418,             0.00015018,             0.00015018,             0.00015018
                     24,                 1.2118,                 1.4904,                 1.2199,                0.53204,                 0.4426,                0.45481,                0.31074,                 1.2663,                 1.5265,                 1.2396,             0.00014828,             0.00014828,             0.00014828
                     25,                 1.2165,                 1.4596,                 1.2112,                0.58732,                0.41936,                0.45436,                0.30597,                 1.2787,                 1.5626,                 1.2444,             0.00014638,             0.00014638,             0.00014638
                     26,                 1.2136,                 1.4515,                 1.2143,                0.52359,                0.45233,                 0.4539,                0.30715,                 1.2786,                  1.542,                 1.2494,             0.00014448,             0.00014448,             0.00014448
                     27,                 1.2023,                 1.4399,                 1.2133,                0.55386,                0.43688,                0.45535,                0.30905,                  1.278,                 1.5676,                 1.2423,             0.00014258,             0.00014258,             0.00014258
                     28,                 1.1956,                 1.4321,                 1.2048,                0.54907,                0.42549,                0.44442,                0.30025,                 1.2647,                 1.5359,                 1.2435,             0.00014068,             0.00014068,             0.00014068
                     29,                 1.1933,                 1.4074,                  1.202,                0.57351,                0.43246,                0.45924,                0.31007,                 1.2753,                 1.5231,                 1.2432,             0.00013878,             0.00013878,             0.00013878
                     30,                 1.2038,                 1.4167,                 1.2029,                0.56596,                0.43556,                0.45999,                 0.3099,                  1.283,                 1.5314,                 1.2458,             0.00013688,             0.00013688,             0.00013688
                     31,                 1.2002,                 1.4048,                 1.2049,                0.54215,                0.43883,                0.45388,                0.30833,                 1.2763,                 1.5244,                 1.2383,             0.00013498,             0.00013498,             0.00013498
                     32,                 1.1878,                 1.3866,                 1.1992,                0.55477,                0.43168,                0.45041,                0.30557,                 1.2753,                 1.5202,                 1.2377,             0.00013308,             0.00013308,             0.00013308
                     33,                 1.1864,                 1.3723,                 1.1922,                0.53502,                0.45367,                0.45949,                0.31241,                 1.2731,                 1.5063,                 1.2404,             0.00013117,             0.00013117,             0.00013117
                     34,                 1.1829,                 1.3732,                 1.1934,                0.53039,                0.44815,                0.45473,                0.30569,                 1.2797,                 1.5194,                 1.2411,             0.00012927,             0.00012927,             0.00012927
                     35,                 1.1809,                 1.3628,                 1.1973,                0.55231,                0.43232,                0.45359,                0.30534,                 1.2836,                 1.5459,                 1.2485,             0.00012737,             0.00012737,             0.00012737
                     36,                 1.1893,                 1.3559,                 1.1949,                0.55019,                0.44544,                0.45921,                 0.3078,                  1.278,                 1.5123,                  1.242,             0.00012547,             0.00012547,             0.00012547
                     37,                 1.1828,                 1.3421,                 1.1925,                0.51824,                0.46213,                0.46426,                0.31467,                 1.2684,                 1.4943,                 1.2432,             0.00012357,             0.00012357,             0.00012357
                     38,                 1.1734,                 1.3364,                 1.1871,                0.58217,                0.42652,                0.46046,                 0.3103,                  1.275,                 1.5102,                 1.2391,             0.00012167,             0.00012167,             0.00012167
                     39,                 1.1717,                 1.3331,                 1.1886,                0.54835,                0.44394,                0.45537,                0.30789,                 1.2813,                 1.5051,                 1.2464,             0.00011977,             0.00011977,             0.00011977
                     40,                 1.1827,                 1.3308,                 1.1936,                0.59448,                0.42398,                0.46263,                0.31508,                 1.2734,                  1.515,                 1.2449,             0.00011787,             0.00011787,             0.00011787
                     41,                 1.1649,                 1.3204,                 1.1842,                0.54787,                0.44441,                0.45492,                0.30926,                 1.2727,                 1.4984,                 1.2414,             0.00011597,             0.00011597,             0.00011597
                     42,                 1.1641,                 1.3063,                 1.1812,                0.54617,                 0.4542,                0.45908,                0.31274,                 1.2694,                 1.4907,                 1.2369,             0.00011407,             0.00011407,             0.00011407
                     43,                 1.1623,                 1.2879,                 1.1804,                0.54052,                0.45129,                0.45735,                0.31028,                 1.2838,                 1.5058,                 1.2489,             0.00011217,             0.00011217,             0.00011217
                     44,                 1.1579,                 1.3005,                 1.1801,                0.55796,                0.45275,                0.46412,                0.31807,                 1.2612,                 1.4887,                 1.2347,             0.00011027,             0.00011027,             0.00011027
                     45,                 1.1585,                 1.2998,                 1.1802,                0.55777,                0.44858,                0.45926,                0.31261,                 1.2765,                 1.5025,                 1.2444,             0.00010836,             0.00010836,             0.00010836
                     46,                 1.1599,                 1.2817,                 1.1757,                0.57932,                0.43974,                0.46519,                0.31701,                 1.2753,                 1.4911,                 1.2429,             0.00010646,             0.00010646,             0.00010646
                     47,                 1.1608,                 1.2714,                 1.1796,                0.57358,                0.43634,                0.46271,                0.31573,                 1.2745,                 1.4914,                 1.2405,             0.00010456,             0.00010456,             0.00010456
                     48,                 1.1543,                 1.2672,                 1.1751,                0.56781,                0.44328,                0.46107,                 0.3158,                 1.2803,                 1.4983,                 1.2429,             0.00010266,             0.00010266,             0.00010266
                     49,                 1.1494,                 1.2676,                 1.1741,                0.54772,                0.45582,                0.46932,                0.31921,                 1.2749,                 1.4761,                 1.2376,             0.00010076,             0.00010076,             0.00010076
                     50,                  1.145,                 1.2506,                 1.1693,                 0.5756,                0.43004,                0.46262,                0.31417,                 1.2763,                 1.4973,                 1.2421,             9.8861e-05,             9.8861e-05,             9.8861e-05
                     51,                 1.1419,                 1.2461,                 1.1676,                0.57179,                0.44167,                0.46309,                0.31533,                 1.2777,                 1.5075,                 1.2448,              9.696e-05,              9.696e-05,              9.696e-05
                     52,                 1.1409,                 1.2499,                 1.1716,                0.53846,                0.45647,                0.46168,                0.31606,                 1.2719,                 1.5034,                 1.2436,             9.5059e-05,             9.5059e-05,             9.5059e-05
                     53,                 1.1375,                  1.237,                 1.1658,                0.53596,                0.45073,                0.46117,                0.31152,                 1.2823,                 1.4957,                 1.2501,             9.3158e-05,             9.3158e-05,             9.3158e-05
                     54,                 1.1408,                 1.2394,                 1.1674,                0.57433,                0.43365,                0.46138,                0.31252,                 1.2786,                 1.4947,                 1.2448,             9.1258e-05,             9.1258e-05,             9.1258e-05
                     55,                 1.1383,                 1.2327,                 1.1645,                0.54128,                0.45675,                0.46563,                0.31579,                  1.277,                 1.4808,                 1.2483,             8.9357e-05,             8.9357e-05,             8.9357e-05
                     56,                 1.1399,                 1.2288,                 1.1589,                0.60075,                0.43663,                0.47094,                0.32154,                 1.2709,                 1.4753,                 1.2428,             8.7456e-05,             8.7456e-05,             8.7456e-05
                     57,                 1.1295,                 1.2175,                 1.1597,                 0.5838,                0.44091,                0.46621,                0.31549,                 1.2791,                 1.4803,                 1.2442,             8.5555e-05,             8.5555e-05,             8.5555e-05
                     58,                 1.1318,                 1.2252,                 1.1639,                 0.5941,                0.43201,                0.46474,                0.31595,                  1.273,                 1.4838,                 1.2417,             8.3654e-05,             8.3654e-05,             8.3654e-05
                     59,                 1.1357,                 1.2111,                 1.1607,                0.54324,                0.44894,                0.46265,                0.31685,                 1.2692,                 1.4752,                 1.2376,             8.1754e-05,             8.1754e-05,             8.1754e-05
                     60,                 1.1357,                 1.2095,                 1.1596,                0.56018,                0.44772,                0.46475,                0.31907,                 1.2719,                  1.481,                 1.2436,             7.9853e-05,             7.9853e-05,             7.9853e-05
                     61,                 1.1296,                  1.193,                 1.1579,                0.55677,                0.44854,                0.46647,                0.31818,                 1.2805,                  1.488,                 1.2452,             7.7952e-05,             7.7952e-05,             7.7952e-05
                     62,                 1.1254,                 1.1916,                  1.154,                 0.5872,                0.44079,                0.46379,                0.31653,                 1.2778,                 1.4854,                 1.2489,             7.6051e-05,             7.6051e-05,             7.6051e-05
                     63,                 1.1209,                 1.1824,                 1.1517,                0.58415,                0.43872,                0.46437,                0.31671,                 1.2796,                 1.4859,                 1.2479,              7.415e-05,              7.415e-05,              7.415e-05
                     64,                 1.1289,                 1.1937,                 1.1529,                0.57007,                0.44644,                0.46518,                0.31603,                 1.2774,                 1.4929,                 1.2496,              7.225e-05,              7.225e-05,              7.225e-05
                     65,                  1.116,                 1.1789,                 1.1498,                 0.5857,                0.44156,                0.46759,                0.31704,                 1.2743,                 1.4774,                 1.2441,             7.0349e-05,             7.0349e-05,             7.0349e-05
                     66,                 1.1198,                 1.1681,                 1.1525,                0.57953,                0.44192,                0.46825,                0.31965,                 1.2755,                 1.4861,                  1.244,             6.8448e-05,             6.8448e-05,             6.8448e-05
                     67,                 1.1159,                 1.1735,                 1.1534,                0.59998,                0.43242,                 0.4707,                0.32203,                 1.2738,                  1.489,                 1.2452,             6.6547e-05,             6.6547e-05,             6.6547e-05
                     68,                 1.1129,                  1.162,                 1.1476,                0.58909,                0.43745,                0.46803,                0.31952,                 1.2796,                 1.4886,                 1.2458,             6.4646e-05,             6.4646e-05,             6.4646e-05
